"","V1","V2"
"1",9802,1679
"2",7930,7316
"3",6544,6097
"4",3772,2520
"5",10703,2168
"6",9317,7571
"7",3774,3624
"8",9319,2416
"9",9321,4599
"10",3777,3962
"11",5164,9488
"12",7936,3553
"13",3781,2839
"14",2873,2385
"15",8417,1571
"16",3782,3061
"17",7943,8603
"18",10716,6578
"19",9334,4462
"20",6563,4181
"21",5646,7340
"22",6564,4059
"23",7950,2652
"24",3793,2176
"25",6566,4453
"26",5181,9520
"27",2409,2473
"28",3795,2678
"29",7954,8629
"30",9340,4608
"31",3797,7129
"32",3799,3590
"33",3799,3801
"34",9805,7906
"35",7961,8659
"36",9347,6118
"37",3803,7873
"38",7962,9922
"39",7965,2629
"40",6580,4438
"41",6580,7841
"42",6581,4148
"43",9354,1410
"44",7034,7817
"45",7970,2172
"46",5198,9521
"47",2427,8605
"48",7973,7294
"49",5201,9640
"50",5201,9703
"51",5201,10027
"52",2432,1977
"53",7977,2046
"54",3819,3637
"55",6591,7153
"56",7980,7313
"57",9366,4299
"58",5208,3739
"59",6595,6764
"60",3823,4111
"61",6595,4126
"62",3829,2527
"63",6601,4775
"64",9373,2091
"65",3833,2773
"66",6605,2995
"67",9378,6164
"68",9380,7586
"69",9382,4654
"70",7997,3408
"71",7997,8746
"72",6611,6751
"73",9384,4371
"74",5228,9744
"75",9387,6134
"76",9388,7542
"77",8004,7114
"78",9392,2140
"79",9393,7742
"80",6622,4792
"81",3850,1881
"82",10781,2223
"83",8009,8810
"84",9810,8360
"85",2880,2357
"86",4266,9479
"87",5238,10012
"88",9397,7572
"89",8011,8728
"90",3855,3228
"91",6630,3131
"92",6630,1119
"93",9402,6103
"94",8017,2638
"95",9405,6075
"96",5247,6688
"97",4267,1385
"98",3862,4133
"99",6634,6683
"100",8020,8907
"101",5252,6554
"102",8025,9004
"103",9412,2083
"104",5255,7839
"105",2783,2350
"106",6941,7872
"107",9812,8451
"108",9812,4536
"109",6645,4061
"110",8031,8840
"111",3875,4044
"112",8034,8956
"113",3877,2915
"114",6651,6662
"115",9424,7554
"116",2883,3301
"117",6654,4278
"118",8043,7175
"119",3886,4024
"120",8044,7305
"121",6659,3122
"122",5274,3957
"123",3888,2961
"124",6661,6769
"125",3889,8004
"126",8055,7262
"127",9441,4748
"128",9443,7543
"129",8057,10064
"130",9444,6199
"131",5288,9016
"132",9447,7314
"133",6676,4618
"134",9449,2113
"135",6678,3899
"136",3910,5139
"137",5297,8791
"138",4272,8257
"139",8071,7268
"140",8071,9924
"141",9457,5924
"142",9458,7849
"143",6688,6799
"144",2531,2194
"145",9461,6484
"146",3918,7131
"147",3919,3644
"148",8077,8686
"149",5307,6891
"150",9467,2074
"151",8081,8710
"152",5309,6818
"153",10853,1916
"154",3924,2315
"155",6696,4360
"156",9468,7506
"157",5310,7543
"158",10855,2229
"159",2540,2316
"160",5312,4368
"161",9818,4318
"162",8090,8567
"163",3933,4282
"164",3935,2783
"165",3936,1839
"166",2550,7901
"167",6708,3884
"168",2551,2425
"169",3937,7908
"170",9485,4522
"171",8099,9941
"172",4275,4050
"173",4275,4039
"174",2889,1945
"175",3943,2610
"176",8102,10048
"177",8103,9839
"178",3947,2568
"179",5336,7722
"180",5336,6920
"181",8109,7262
"182",5337,7675
"183",8109,8881
"184",9496,2039
"185",3955,8717
"186",5343,7987
"187",5344,3774
"188",8116,9959
"189",2574,2207
"190",9821,7543
"191",3962,8074
"192",10892,2397
"193",5349,6832
"194",3963,3872
"195",2579,1125
"196",3965,2464
"197",9510,6250
"198",3966,3304
"199",8124,9863
"200",3967,4115
"201",9512,7448
"202",3968,2528
"203",6742,6780
"204",9514,5894
"205",10901,2241
"206",7050,2650
"207",8130,8875
"208",3974,9903
"209",3976,4066
"210",8136,8920
"211",8136,8971
"212",3979,2605
"213",8137,9994
"214",8137,10017
"215",10910,2291
"216",10910,3987
"217",5367,6928
"218",2893,7542
"219",8143,9181
"220",2599,3826
"221",5372,6907
"222",5374,7623
"223",2602,3837
"224",6761,7809
"225",3990,8113
"226",9535,4123
"227",5379,7790
"228",9539,6183
"229",9540,2047
"230",5382,7565
"231",8155,9943
"232",8156,9841
"233",9544,7488
"234",10933,3964
"235",9548,6358
"236",8162,9471
"237",4004,3115
"238",8162,9032
"239",5391,1626
"240",5392,6999
"241",4008,3384
"242",9552,2053
"243",4008,1474
"244",4008,3783
"245",6781,3302
"246",9553,4531
"247",9553,6116
"248",4009,8152
"249",8168,9354
"250",5396,6840
"251",5668,2471
"252",8170,7333
"253",4012,9818
"254",9558,8651
"255",5402,7690
"256",5405,6894
"257",4020,1758
"258",10951,2274
"259",4283,8297
"260",10952,2233
"261",8180,9961
"262",5409,6974
"263",5410,7266
"264",2639,2256
"265",8183,7300
"266",8184,7246
"267",2640,3691
"268",4026,2992
"269",8185,7282
"270",6800,6915
"271",8186,10003
"272",6801,3931
"273",4030,1766
"274",6802,7827
"275",1512,3060
"276",4032,8058
"277",9576,8459
"278",2647,3651
"279",8192,9779
"280",5421,1566
"281",4037,3801
"282",2652,3827
"283",9582,7901
"284",4039,8179
"285",4039,1563
"286",5425,7001
"287",6812,7930
"288",2655,3839
"289",4285,4024
"290",4285,1466
"291",8201,9560
"292",2658,3758
"293",8203,9719
"294",5432,7209
"295",5432,6916
"296",8205,9033
"297",9592,1959
"298",8207,9004
"299",2900,2367
"300",8211,2664
"301",5440,7181
"302",5441,6929
"303",5442,6943
"304",6829,1224
